"name","values","values-ko"
"practice_go"," Go "," Go "
"practice_give_up","End","End"
"practice_result_name","My practice %d","내 연습 %d"
"practice_result_dialog_score_total","Overall","종합"
"practice_result_dialog_score_pitch","Intonation: %d","음정: %d"
"practice_result_dialog_score_rhythm","Rhythm: %d","리듬: %d"
"practice_result_dialog_error_pitch","Wrong Notes: %d","틀린 음정: %d"
"practice_result_dialog_error_rhythm","Bad Tempo: %d","틀린 템포: %d"
"practice_no_record_permission_title","Please enable the microphone permission.","녹음 권한을 허용하세요."
"practice_no_record_permission_msg","Please turn on the permissions in System Setting.","설정에서 권한을 허용하세요."
"practice_result_dialog_detail","Analysis Report","분석결과 조회"
"practice_no_network","Sorry, network required.","인터넷  연결되지 않습니다.연습을 진행할 수 없습니다."
"practice_give_up_toast","No valid sounds detected.","바이올린 소리가 들리지 않아 이번 연습을 포기해요."
"practice_give_up_toast2","You have given up this audition.","이번 연습을 포기했습니다."
"practice_give_up_key_down_toast","Give up this audition.","이번 연습을 포기해요."
"practice_not_finished_title","Sorry, the server is still calculating the result.","죄송하니다.서버는 열심히 계산하고 있습니다. "
"practice_not_finished_msg","Wait for the result?","계속 기다리시나요? "
"practice_upload_require_login","Login required.","연습결과를 조회하시려면 로그인"
"practice_upload_timeout","Your current network is unstable. Please check the result later.","네트워크 상태 좋지않아서  잠시후 결과를 조회하세요."
"practice_upload_exception","The server is have a meditation. We will calculate the result for you later.","서버 이상.잠시후 결과를 분석할게요."
"practice_upload_give_up","The audition is too short, or the playing is so off-pitched that blasts the app. Take this audition later.","연습이 짧거나 음정이 많이 틀려 이번 연습을 포기해요."
"practice_vip_gift_title","You have a new gift.","새 선물을 받았어요."
"practice_vip_gift_get","Claim","받기"
"practice_vip_gift_ignore","Later","잠시 후"
"practice_result_dialog_title","You performance on this piece is perfect!","이곡을 완벽하게 연주했어요."
"practice_result_dialog_explain","Click to check comments from teacher.","선생님의 해설을 들으신다면 클릭"
"practice_section_update","Section info has been updated.","섹션 정보 업데이트되었습니다."
"practice_detail_volume_not_support","None","없음"
"practice_detail_volume_piano_toast","Piano accompaniment is not supported yet. Stay tuned!!","피아노 반주 아직 없습니다.금방 나올게요."
"practice_detail_sidebar_option","Options","항목"
"practice_detail_sidebar_source","Sound Source","음원"
"practice_detail_score_name","Part %d","성부%d"
"practice_detail_score_shortName","P%d","성%d"
"practice_detail_instrument_not_support","The current version does not support Note-by-note for cello and viola.","현재 버전은 첼로/비올라 연주는 불가능합니다"
"practice_detail_note_click_not_support","The selected section does not support Note-by-note mode.","note-by-note모드는 어떤한 위치에 시작하는 게 없습니다"
"practice_detail_sheet_loading_latest_version","The current sheet music is updated and going to be reloaded.","악보 업데이트 완료.다시 로딩할게요."
"practice_feedback_title","Tag faults on screenshot.","악보 캡쳐에 오류를 표시해보세요"
"practice_feedback_web_title","Feedback","오류 신고"
"practice_feedback_undo","Undo","뒤로 가기"
"practice_feedback_redo","Redo","다시"
"practice_feedback_clear","Clear","삭제"
"practice_feedback_finished","Submit","제출"
"practice_feedback_content","Report Sheet Faults","악보 오류 신고"
"sheet_sidebtn_history","History","기록 "
"violin_E","E","E"
"violin_A","A","A"
"violin_D","D","D"
"violin_G","G","G"
"sheet_warm_theme","Light Filter","보안 모드"
"sheet_repeat","Repeat Signs","도돌이표"
"sheet_repeat_tips","Enable it if you want to practice or play the sheet music with repeat signs.","도돌이표대로 재생이나 연습하고 싶다면 스위치를 여세요"
"sheet_display_cursor","Cursor Display","커서 표시"
"sheet_display_cursor_tips","Display cursor follows your sound while Auditioning.","오디션 할 때 커서가 음표를 따라합니다"
"sheet_display_eadg_tips","Play the E-A-D-G open strings one by one to start the Audition.","E-A-D-G하고나서 연습을 시작할 수 있습니다."
"sheet_paragraph_mode","Sections","섹션 나누기"
"sheet_play_beat","Countdown","카운트다운"
"sheet_play_rest","Rest Bars","모두 쉼표 재생"
"sheet_feedback","Feedback","오류 신고"
"sheet_share","Share","공유결과"
"sheet_star","Star","별표"
"sheet_paragraph","Sections","섹션"
"sheet_paragraph_unsupported_paragraph","Repeat sign is not supported under Section practice.","섹션연습은 도돌이표를 이용할 수 없습니다"
"sheet_paragraph_unsupport","This sheet music does not support Section Mode yet.","이악보는 섹션을 나눌 수 없습니다"
"sheet_paragraph_seleted_toast_begin","Choose section","섹션 선택됨"
"sheet_paragraph_seleted_toast_end","","섹션"
"sheet_deprecated","(Deprecated)","만료"
"sheet_start_text","Start playing at anytime in %d s","%d 초 내에 시작할 수 있어요."
"records_my_practices","My Practices","내 연습"
"records_my_star","Starred","별표시"
"records_vip_hint","Premium Only","회원이 되면 분석결과를 조회할 수 있습니다(시범 앨범 빼고)"
"records_empty","No practice histories found.","연습기록을 찾지 못합니다."
"records_add_to_list","Added to practice records.","연습기록으로 추가되었습니다."
"records_star_empty","No starred practices found. \n\nStar practice items in Practice History.","즐겨찾기에 항목이 없습니다/원하는 연습을 여기에 추가하세요."
"records_item_time_just","Just now","방금"
"record_item_score","Total","총"
"record_item_pitch","Intonation","음정"
"record_item_rhythm","Rhythm","리듬"
"record_item_pitch_error","Wrong Notes","틀린 음정"
"record_score","","점"
"record_detail_viewpager_title_total","Overall","종합"
"record_detail_viewpager_title_pitch","Intonation","음정"
"record_detail_viewpager_title_rhythm","Rhythm","리듬"
"record_detail_viewpager_title_note","Notes","음표"
"record_detail_viewpager_title_review","Comments","댓글"
"record_detail_viewpager_score","%d","%d점"
"record_detail_viewpager_quantity","%d","%d개"
"record_detail_viewpager_total_score_label","Overall","종합"
"record_detail_viewpager_total_score_pitch","Intonation","음정"
"record_detail_viewpager_total_score_rhythm","Rhythm","리듬"
"record_detail_viewpager_total_score_speed","Tempo","연습 템포"
"record_detail_viewpager_total_score_pitcherror","Wrong Notes","틀린 음정"
"record_detail_viewpager_total_score_rhythmerror","Bad Beats","틀린 리듬"
"record_detail_viewpager_total_score_speedvalue","BPM","속도"
"record_detail_viewpager_pitch_score_label","Intonation","음정"
"record_detail_viewpager_pitch_score_high","Slightly Higher","높음 - 비교적 높음"
"record_detail_viewpager_pitch_score_highhalf","Semitone Higher","높음 - 반음 틀린"
"record_detail_viewpager_pitch_score_higherror","Very High","높음 - 틀린"
"record_detail_viewpager_pitch_score_low","Slightly Lower","낮음 - 비교적 낮음"
"record_detail_viewpager_pitch_score_lowhalf","Semitone Lower","낮음 - 반음 틀린"
"record_detail_viewpager_pitch_score_lowerror","Very Low","낮음 - 틀린"
"record_detail_viewpager_rhythm_score_label","Rhythm","리듬"
"record_detail_viewpager_rhythm_score_quicklittle","Slightly Ahead","빠름 - 비교적 빠름"
"record_detail_viewpager_rhythm_score_quick","Far Ahead","빠름 - 틀린"
"record_detail_viewpager_rhythm_score_slowlittle","Slightly Behind","느림 - 비교적 느림"
"record_detail_viewpager_rhythm_score_slow","Far Behind","느림 - 틀린"
"record_detail_viewpager_note_muiti","Multiple","화음 "
"record_detail_viewpager_note_multi_title","Chords Result","화음 결과"
"record_detail_viewpager_note_cent_rests","Rests","쉼표"
"record_detail_viewpager_note_cent_label","Pitch Offsets","음정 오차"
"record_detail_viewpager_note_cent_pre","Pre","이전"
"record_detail_viewpager_note_cent_next","Next","다음"
"record_detail_viewpager_note_cent_example","Demo","시범"
"record_dialog_update_title","Retitle","타이틀 수정"
"record_dialog_update_content","Please input a new title:","수정한 타이틀을 입력하세요"
"record_dialog_update_hint","Practice Title","타이틀"
"record_practice_delete_hint","Can't delete the current record.","이기록을 삭제할 수 없습니다."
"record_practice_uploading","Analyzing the results of the audition.","연습결과를 분석하고 있습니다."
"record_practice_no_scroe_fail_title","The audition cannot be analyzed.","이연습결과가 계산되지 못합니다."
"record_practice_no_scroe_fail_msg","This record will be deleted","연습이 삭제할겁니다."
"record_practice_uploading_fail_title","Sorry, error occurred.","죄송합니다.데이터를 획득할 때 오류가 발생했습니다."
"record_practice_uploading_fail_msg","Did you want to upload practice data again?","데이터를 다시 획득할까요?"
"record_practice_total_hint","Criteria: max up to 100 (Intonation 60% + Rhythm 30% + Tempo 10%) ;
Wrong Notes: wrong semitones + wrong notes;
Bad Beats: the number of wrong timing notes (ahead and behind).","기준 : 최대 100 점 (음정 60% + 리듬 30% + 템포 10%);
틀린 음정: 반음 편차 + 틀린 음정;
틀린 비트: 편차가 큰 템포."
"record_practice_musical_cent","Cent (music):","센트"
"record_practice_pitch_hint1","Criteria: the maximum intonation score is 100;
Common Range: < 20 cents;
Slightly Higher/Lower: < 70 cents;
Semitone Higher/Lower: > 70 cents and < 130 cents;
Very High/Low: offset > 130 cents;
Scoring: The more offset, the lower score;
Extra: each semitone offset/wrong note causes extra 4 dedicated points, max up to 20 points.
Cent (music):","기준: 최대 100 점.
표준 범위: < 20센트;
비교적 높음/낮음: < 70센트;
반음 높음/낮음:> 70센트, < 130센트;
틀린 음정:  > 130센트;
점수: 피치 편차가 심할수록 점수가 낮아짐.
부가: 반음/틀린 음정은 4점을 추가감점하는데 최대 20점까지.
센트:"
"record_practice_pitch_hint2","- The minimum unit of pitch height measurement;
- 100 cents equals to 1 semitone;
- Musicians can usually distinguish 20 cents offset.","’- 피치 E190높이를 측정하는 최소 단위.
- 100센트는 1반음과 같음.
- 뮤지션은 보통 20센트 편차를 알아들을 수 있음."
"record_practice_rhythm_hint","Criteria: max up to 100;
Bad Beats: the Bad Beats (bad timing notes) are displayed in green/red;
Quaver/Semiquaver (8th/16th note): fault tolerance for 8th/16th notes are higher;
Quarter note: fault tolerance for quarter notes and the tolerance for other longer notes are lower; the offset over 1.5 times from a stable tempo is recognised as Bad Beats.","기준: 최대 100 점 
틀린 비트: 틑린 비트가 파란색/빨간색으로 표시됨;
8분음표/16분 음표: 8/16분 음표는 오류를 발생할 확률이 낮음;
4분음표: 4분음표는 오류를 발생할 확률이 높음.기타 긴 음표도 4분음표와 같음.1.5배 이상 편차는 틀린 비트로 인식됨."
"record_practice_note_hint1","- It shows the details of the selected note; 
- The red number indicates the pitch offsets in cents;
- Tap on each note to see the details.
Cent (music):","- 커서가 위치한 곳 음표에 대한 정보:
-빨간색 숫자는 센트 편차를 나타냄;
-악보에 있는 위치를 클릭하여 음표에 대한 자세한 내용을 볼 수 있음."
"record_practice_note_hint2","- The minimum unit of pitch height measurement;
- 100 cents equals to 1 semitone;
- Musicians can usually distinguish 20 cents offset.","‘-100 센트는 1 반음과 같음.
-뮤지션은 20센트 편차를 알아들을 수 있음."
"record_legend_name","Intonation Sign","음정 설명"
"record_legend_overall_1","Very High","높음 - 틀린"
"record_legend_overall_2","Semitone Higher","높음 - 반음 틀린"
"record_legend_overall_3","Slightly Higher","높음 - 비교적 높음"
"record_legend_overall_4","Slightly Lower","낮음 - 비교적 낮음"
"record_legend_overall_5","Semitone Lower","낮음 - 반음 틀린"
"record_legend_overall_6","Very Low","낮음 - 틀린"
"record_legend_name_rhythm","Rhythm Sign","리듬 설명"
"record_legend_rhythm_1","Far Ahead","빠름 - 틀린"
"record_legend_rhythm_2","Slightly Ahead","빠름 - 비교적 빠름"
"record_legend_rhythm_3","Slightly Behind","느림 - 비교적 느림"
"record_legend_rhythm_4","Far Behind","느림 - 틀린"
"record_download_failed","
        Sorry, failed to load practice record.
        Please try later. Give us feedback if still failed. Thank you for your support!
    ","죄송합니다.연습기록 로딩 이상.다시 시도해도 해결되지 않는다면 오류신고를 하세요."
"record_review_comment","Write a Comment","댓글 작성"
"record_review_create_failed_title","Comment Create Failed","댓글 보내 실패"
"record_review_create_failed_content","
        Only support starred practice, Please star practice.
    ","별표시되지 않는 연습에 댓글을 하지 못합니다.별표시한 후 다시 댓글을 하세요."
"record_review_empty","No Comments.","댓글 없음"
"record_review_hint","Enter your comment here.","여기에 댓글내용을 입력"
"record_review_post_success","Comment Submitted.","댓글 보내 성공"
"record_review_post_failed","Comment submission failed, Please check your network status.","댓글 보내 실패.네트워크 체크하세요"
"record_review_post_unknown_failed","Submit failed with unknown reason. Please contact on WeChat: LittleQvQ","댓글 보내 실패.미지 문제 대응 WeChat:LittleQvQ"
"record_review_post_unknown_failed","Submit failed with unknown reason. Please Email us: support@violy.app","댓글 보내 실패.미지 문제 대응 support@violy.app"
"record_review_create_sync_failed","New comment created, but the synchronization is failed. You can retry manually or check the comment later.","댓글 보내 성공이지만 데이터 동기화 오류를 때문에 잠시후 다시 시도하세요."
"record_review_create_sync_retry","Retry","재시도"
"record_review_create_sync_cancel","Later","잠시 후"
"record_review_sending","Comment submitting…","댓글 보내대기 중"
"record_review_syncing","Synchronizing…","댓글 동기화 중"
"record_no_network","Network error, failed to open practice.","네트워크 연결되지 않습니다.연습을 열지 못합니다."
"sheet_following_title","Intonation Sign","음정 표시"
"sheet_following_too_high","Very high","높음 - 틀린"
"sheet_following_little_high","Slightly Higher","높음 - 비교적 높음"
"sheet_following_little_low","Slightly Lower","낮음 - 비교적 낮음"
"sheet_following_too_low","Very Low","낮음 - 틀린"
"me_member_vip_unopened","Non-premium","비회원"
"me_member_vip_opened","Violy Premium","회원"
"me_member_open","Go Premium now>","상세보기"
"me_member_date","Expiration date: %s","마감일：%s"
"me_teacher","I'm a teacher","선생님입니다."
"me_recommend_student","Invite students","학생을 그룹에 초청합니다"
"me_teacher_unauthorized","Unverified","미인증"
"me_teacher_authorized","Verified","인증완료"
"me_teacher_verify_title","Teacher Verification","인증된 선생님"
"me_invite_student_dialog_title","Invite via","링크를 공유하기"
"me_standard_pitch","Standard Pitch","표준 피치"
"me_feedback","Help/Feedback","도움말 / 피드백"
"me_settings","Settings","설정"
"me_recommended","Invite friends","공유하기"
"me_pitch_440","440","440"
"me_pitch_442","442","442"
"me_share_title","I'm practicing my violin on \Violy\"". Let’s practice together!","\Violy\"" 이용 중.친구에게 공유하기"
"me_share_content","Violy is an intelligent app which can listen to and understand music.","Lian,바이올린소리를 분석할 수 있는 인공지능 App"
"pay_wx_version_not_support","Current version doesn't support WeChat pay.","현재 버전은 WeChat로 지불이 안됩니다."
"me_gain_gift_success","Gift \’%s\' claimed successfully.","선물 받기 성공"
"me_gain_gift_fail","Claim gift failed.","선물 받기 실패"
"me_gain_gift_fail_not_login","Error occurred, please try again later.","오류가 발생했는데 잠시후 다시 시도하세요. "
"me_gift_has_gained","This gift has already been taken.","선물을 이미 받았습니다."
"me_gift_alert","Gift: Premium %s days","무료시용 받기"
"me_share_teams","Group Name","그룹명"
"me_teams_empty","Fail to load group information","그룹 정보 획득 실패"
"userinfo_title","My Profile","개인정보"
"userinfo_update","Edit my profile","개인정보편집"
"userinfo_sex_male","male","남성"
"userinfo_sex_female","female","여성"
"userinfo_mobile","Phone: %s","핸드폰: %s"
"userinfo_email","Email: %s","이메일: %s"
"update_userinfo_title","Edit my profile","개인정보편집"
"update_userinfo_nickname","Nickname","ID"
"update_userinfo_sex","Gender","젠더"
"update_userinfo_permission_request","Modifying the avatar requires access to local photos. Please enable the permissions. ^ ~^","프로필 바꾸시려면 이미지앨범 접근권한을 허용해야됩니다."
"update_userinfo_error_nickname","Nickname can not be blank.","ID 입력하세요."
"update_userinfo_success","Done!","완료"
"splash_guide_title1","Audition Mode","오디션모드"
"splash_guide_title2","Note-by-note Mode","Note-by-note 모드"
"splash_guide_title3","Audio Demos Available","시범 재생"
"splash_guide_desc1","Violy follows your playing. It scores your intonation and rhythm after your performance.","바이올린을 연주하며 ""Violy""는 따라합니다.연주 끝난 후 연습에 점수를 매기고 음정과 리듬을 분석합니다."
"splash_guide_desc2","Follow the cursor and play the note. Timely feedback on each note. Check your pitch on every note.","커서를 따라하고 바이올린을 연주해주세요.음정이 맞아야 계속할 수 있습니다."
"splash_guide_desc3","Audio demonstration is available for every sheet music. Playback anywhere as you wish.","흔한 악보가 다 포함되었습니다.어떠한 위치에 클릭하면 재생할 수 있습니다."
"splash_guide_enter","Enter","앱을 이용하기"
"login_phone_number","Phone Number","전화번호 로그인"
"login_email","Email","이메일 로그인"
"login_send_code","Send","인증번호를 획득하기"
"login_input_hint_email","Email Address","이메일주소 입력"
"login_number_describe","We'll send you a text verification code.","인증번호를 핸드폰으로 발송할겁니다."
"login_email_describe","We'll send you an email verification code.","인증번호를 이메일로 발송할겁니다."
"login_page_privacy_text","I accept Violy’s","동의"
"login_page_privacy_link"," Privacy of Service ","개인정보정책"
"login_code_cannot_receive","Code not received?","인증번호를 받지 않습니까?"
"login_invalid_phone_number","Invalid phone number","정확한 전화번호를 입력해주세요."
"login_invalid_email","Invalid email address","정확한 이메일주소를 입력해주세요."
"login_invalid_code","Invalid code","인증번호 무효"
"login_send_code_too_often","Sorry, verification code are requested too frequently, please try after one minute.","짧은시간 내에 인증번호를 많이 발송했는데 1분후 다시 시도하세요."
"login_dialog_title","Tips","힌트"
"login_dialog_message","We will inform you of the verification code in the form of a call. Call you now?","음성메시지로 인증번호를 알려드릴겁니다.지금 받을 수 있습니까?"
"login_dialog_positive_button","Call me","바로받기"
"login_dialog_cancel_button","Cancel","취소"
"login_dialog_devices","The account has reached the limit number of login devices. Please remove the invalid devices and login again.","한 계정은 3개만 장치에서 로그인할 수 있다는 규정이 있습니다.자주 이용하지 않는  장치를 지워주세요."
"login_dialog_devices_positive_button","Device Manage","장치 관리"
"login_code_resend"," Resend","다시 발송하기"
"login_code_countdown"," Resend(%d)","다시 발송하기(%d)"
"login_error_code","Verification code not correct.","인증번호 오류"
"login_error_region","Please log in Violy App. Feel free to contact Lian WeChat: ","Violy App로 로그인하세요.도움이 필요하시면 이메일로 문의해주세요."
"violy_wx_id","","LittleQvQ"
"login_error_region_inter","Please log in Lian App. Feel free to email Violy:
    ","Lian App로 로그인하세요.도움이 필요하시면 WeChat로 문의해주세요."
"login_error_deviceTooManyUsers","Accounts on this device are over limit. Here are the accounts:","한 장치는 3개만 계정으로 로그인할 수 있다는 규정이 있습니다.로그인했던 계정은:"
"login_error_1100","Request timeout","처리시간 초과"
"login_error_1101","Forbidden phone number","이 전화번호가 금지되었습니다."
"login_error_1102","Verification code requested too frequently.","짧은 시간에 인증번호 "
"login_error_1103","Invalid phone number format","전화번호양식 오류"
"login_error_1104","Voice verification code sending error","음성인증번호 발송 실패"
"login_error_1109","Unknown error.","미지 오류"
"login_error_1130","Server Error.","서버 오류"
"login_error_1210","Invalid phone number","전화번호 무효"
"login_error_1211","Sorry, your mobile number is not supported.","이 전화번호를 이용할 수 없습니다."
"login_error_1310","Invalid nation code","국가번호 무효"
"login_error_no_login_type","Can not get login_type","login_type획득할 수 없습니다."
"login_error_no_login_field","Can not get email or mobile files.","이메일주소나 전화번호를 획득할 수 없습니다."
"login_error_db_failed","DB operation failure","DB 처리 실패"
"login_error_lack_device_info","Lack device_info","device_info정보 없음"
"login_error_unknown_login_type_401","Unsupported login type","로그인양식 오류 "
"login_feedback_alert","A continuous login exception was detected. If it cannot be resolved, please notify us by sending a feedback. Or contact us on WeChat: LittleQvQ","로그인 이상.해결되지 않는다면 오류신고나 WeChat: LittleQvQ로 문의하세요."
"login_feedback_alert_lian","A continuous login exception was detected. If it cannot be resolved, please notify us by sending a feedback. Or send email to Support@violy.app","로그인 이상.해결되지 않는다면 오류신고나 이메일support@violy.app로 문의하세요."
"login_select_nationCode_title","Select Country","국가번호를 선택하세요."
"login_method_phone","Sign Up / Log In","회원 가입/로그인"
"login_phone_title","Log In","로그인"
"login_phone_sendTo","Enter the code we sent to","에 인증번호 발송됨 "
"login_switch_phone","Phone","핸드폰"
"login_switch_email","Email","이메일 로그인"
"position_prompt","There are some functional differences. Please choose the correct identity, it cannot be modified after filling in.","직업에 따라 기능이 다르며 확인한 후 바꿀 수 없으니까 정확한 직업을 선택해주세요."
"position_i_am_student","I'm a student","학생입니다."
"position_i_am_teacher","I'm a teacher","선생님입니다."
"position_student","Student","학생입니다."
"position_teacher","Teacher","선생님"
"position_please_choice","Choose your identity","직업을 선택하세요."
"position_complete","Complete","확인"
"setting_title","Settings","설정"
"setting_evaluation","Rate Violy App","공감하기"
"setting_devices","Device Manage","장치 관리"
"setting_about","About","정보"
"setting_languages","Language","언어"
"setting_auto_clean","Automatic Cleanup","자동 삭제"
"setting_auto_clean_msg","Automatic Clean will delete your deprecated practice. Confirm to enable it now?
    ","자동삭제는 이월기록을 삭제하니까 계속 실용하시나요?"
"setting_auto_clean_positive","Enable","열기"
"setting_auto_clean_hint","Automatic Cleanup would automatically delete the Practice History after 30 days (except Starred items)","자동삭제는 1달 내 연습 기록을 삭제할겁니다(즐겨찾기 빼고)"
"setting_logout","Log out","로그아웃"
"setting_version","Version：%s","버전：%s"
"setting_version_about","Version %s","버전%s"
"setting_logout_check","Without music, life would be a mistake.
― Friedrich Nietzsche, Twilight of the Idols","로그아웃하시겠어요?"
"about_title","About","정보"
"about_update","Check for updates","새 버전 검색"
"about_terms_of_service","Terms of Service","Violy서비스이용약권"
"about_and","and","과"
"about_privacy_policy","Privacy","Violy개인정보보호정책 "
"about_corporation","Copyright © 2017-2019 Mango Future. All Rights Reserved.","Copyright © 2017-2019 Mango Future. All Rights Reserved."
"about_latest_version","This is the latest version","현재버전는 최신버전입니다."
"about_app_name","Violy Violin","Violy "
"feedback_title","Help/Feedback","도움말 / 피드백"
"feedback_item_problems","Q&A","사용자들 자주 찾는 문제"
"feedback_item_contact","Contact us","고객센터"
"feedback_item_feedbackproblems","Feedback/Comment","의견"
"lineup_title","My Collections","내 컬렉션"
"lineup_delete_title","Delete it?","컬렉션 삭제하시나요?"
"lineup_delete_msg","Collection %s"" will be deleted.""","컬렉션 삭제될겁니다"
"lineup_menu_create","New Collection","컬렉션 만듬"
"lineup_create_hint","Name","컬렉션 이름"
"lineup_detail_menu_edit","Edit","컬렉션 편집"
"lineup_default","My Favorites","My Favorites"
"lineup_success_create","Created","컬렉션 만듬"
"lineup_error_exists","Collection already exists","컬렉션이 이미 존재합니다"
"lineup_error_nameTooLong","The name cannot exceed %d characters.","이름은 %d 자를 초과 할 수 없습니다."
"lineup_error_nameEmpty","Collection name can not be empty.","컬렉션 이름은 비워 둘 수 없습니다."
"lineup_collect_success","Already added to collection","이미 컬렉션에 추가되었습니다"
"lineup_collect_list_success","%d sheets already exist in the current collection. %d sheets are newly added.","%d 곡 이미 컬렉션에 있었습니다.%d 추가"
"lineup_collect_exists","Add failed. The music already exists in the collection.","추가 실패. 악보가 컬렉션에서 있었습니다."
"lineup_collect_list_exists","All of the selected %d musics already exist in the current collection. No sheets are newly added.","%d 컬렉션에 다 있었습니다.새 악보가 없습니다."
"lineup_collect_list_sizeIsZero","Please select the musics to be collected.","원하는 악보를 선택하세요."
"lineup_item_image_contentDescription","Collection Cover Image","컬렉션 커버"
"sheet_no_practice","No practice histories found.","연습기록 없습니다."
"lineup_empty_hint","No musics in the collection.\n Musics can be download from \n%s","컬렉션에서 악보가 없습니다."
"lineup_no_sheet_to_manage","There are no musics in the current collection.","컬렉션에서 악보가 없습니다."
"lineup_delete_list_sizeIsZero","Please select the musics to be deleted.","삭제할 악보를 선택하세요."
"lineup_delete_batch_confirm","Delete now?","삭제하시나?"
"addToLineup_title","Add to My Collections","컬렉션으로 추가"
"discover_title_download_sheet","Download to My Collections","내 컬렉션으로 다운로드"
"discover_album_already_downloaded","The album is already downloaded.","앨범을 다운로드했어요."
"discover_network_alert_title","Download with 2G/3G/4G network?","2G/3G/4G네트워크로 다운로드할까요?"
"discover_network_alert_message","Your current network is not a WIFI environment. The download may generate data consumption. Please confirm if you still want to continue?
    ","데이터로 연결되어 있는데 계속 다운로드할까요? "
"discover_network_alert_dont_show_again","Don't remind.","다시 띄우지 않기"
"discover_downloading_clicked","Downloading now, please do not click repeatedly. :)","로딩 중.다시 클릭하지 마세요."
"vip_dont_support_iab","Sorry, your device does not support In-App purchases.","고객님의 핸드폰은 Google Play 지불이 안됩니다. "
"vip_pay_success","Done!","구매 성공"
"vip_purchase_error_3","Google Play In-App Payments is currently not supported in your area.","고객님이 계시는 지역은 Google Play 지불이 안됩니다. "
